epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,113298,1.19526,1.62966,1.52885,0.5257,0.60578,0.51828,0.37114,0.93139,1.14003,1.12865,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,116750,1.19141,1.61745,1.52821,0.52469,0.60875,0.51862,0.3712,0.93065,1.13381,1.12816,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,120373,1.18445,1.59883,1.51765,0.52689,0.61337,0.51972,0.37131,0.92839,1.13081,1.12936,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,123820,1.17389,1.58369,1.50877,0.52648,0.60666,0.52004,0.37118,0.9306,1.13181,1.12937,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,127271,1.16925,1.57485,1.50433,0.52971,0.60323,0.51919,0.37154,0.92693,1.13041,1.12532,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,130717,1.16349,1.56174,1.50237,0.5323,0.60713,0.51832,0.37145,0.92528,1.12718,1.12493,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,134165,1.1591,1.55127,1.49346,0.52831,0.61017,0.51944,0.37211,0.92511,1.12399,1.12405,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,137621,1.14954,1.53727,1.49131,0.52831,0.60863,0.51866,0.37165,0.92283,1.12676,1.1243,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,141073,1.14464,1.51762,1.48121,0.52487,0.61371,0.51842,0.37139,0.92411,1.12884,1.12493,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,144595,1.0836,1.2656,1.45663,0.52532,0.60877,0.51797,0.37214,0.92012,1.12667,1.12312,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,148215,1.05984,1.22049,1.43823,0.52381,0.61148,0.51926,0.37247,0.91586,1.12022,1.12066,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,151769,1.04474,1.19121,1.4239,0.51932,0.61092,0.52001,0.37345,0.91381,1.11895,1.11963,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,155414,1.03525,1.17435,1.41793,0.52108,0.60594,0.51985,0.37311,0.91501,1.11996,1.12058,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,159050,1.02419,1.15129,1.40346,0.52811,0.59831,0.51906,0.37278,0.91454,1.12271,1.12036,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,162523,1.01541,1.13093,1.39685,0.5305,0.59094,0.51827,0.3725,0.91406,1.12682,1.12092,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,165962,1.00666,1.11801,1.38778,0.5326,0.58506,0.51694,0.3714,0.91352,1.12963,1.12142,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,169613,0.99736,1.1018,1.38109,0.53621,0.57952,0.51573,0.37094,0.91399,1.13144,1.12182,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,173270,0.98877,1.08612,1.3745,0.53405,0.58073,0.51506,0.37052,0.91408,1.13389,1.1223,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,176760,0.98027,1.07516,1.36586,0.53314,0.58041,0.51404,0.3697,0.91435,1.13631,1.12257,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
